"filename", "language", "Shell Script", "YAML", "Markdown", "JavaScript", "SCSS", "JSON", "vue", "HTML", "JSON with Comments", "comment", "blank", "total"
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/pinia/modules/user.js", "JavaScript", 0, 0, 0, 162, 0, 0, 0, 0, 0, 18, 11, 191
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/router/index.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 39, 4, 67
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/style/main.scss", "SCSS", 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 4, 24
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/utils/asyncRouter.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 3, 28
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/utils/bus.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1, 5
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/utils/date.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 2, 41
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/utils/downloadImg.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 21, 3, 40
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/utils/fmtRouterTitle.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/utils/format.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 7, 6, 57
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/utils/image.js", "JavaScript", 0, 0, 0, 99, 0, 0, 0, 0, 0, 10, 13, 122
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/utils/page.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/utils/request.js", "JavaScript", 0, 0, 0, 151, 0, 0, 0, 0, 0, 7, 10, 168
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/view/about/index.vue", "vue", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 4, 37
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/view/admin/game/index.vue", "vue", 0, 0, 0, 0, 0, 0, 647, 0, 0, 2, 32, 681
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/view/admin/index.vue", "vue", 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 3, 22
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/view/admin/user/user.vue", "vue", 0, 0, 0, 0, 0, 0, 521, 0, 0, 1, 30, 552
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/view/announcement/index.vue", "vue", 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 12, 211
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/view/error/index.vue", "vue", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/view/error/reload.vue", "vue", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/view/file/index.vue", "vue", 0, 0, 0, 0, 0, 0, 227, 0, 0, 3, 15, 245
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/view/game/index.vue", "vue", 0, 0, 0, 0, 0, 0, 116, 0, 0, 1, 9, 126
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/view/gameintroduce/index.vue", "vue", 0, 0, 0, 0, 0, 0, 292, 0, 0, 10, 20, 322
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/view/layout/index.vue", "vue", 0, 0, 0, 0, 0, 0, 226, 0, 0, 2, 15, 243
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/view/login/LoginForm.vue", "vue", 0, 0, 0, 0, 0, 0, 401, 0, 0, 3, 16, 420
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/view/login/index.vue", "vue", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 5, 39
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/view/person/person.vue", "vue", 0, 0, 0, 0, 0, 0, 380, 0, 0, 1, 23, 404
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/src/view/rank/index.vue", "vue", 0, 0, 0, 0, 0, 0, 232, 0, 0, 3, 13, 248
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/tailwind.config.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 1, 10
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/vite.config.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 17, 4, 62
"/Users/lyt/Desktop/github-repo/nbuctf_go/nbuctfVue3/前端设计.md", "Markdown", 0, 0, 249, 0, 0, 0, 0, 0, 0, 0, 42, 291
"/Users/lyt/Desktop/github-repo/nbuctf_go/开发文档.md", "Markdown", 0, 0, 221, 0, 0, 0, 0, 0, 0, 0, 81, 302
"Total", "-", 15, 3095, 496, 1473, 19, 62, 4378, 13, 8, 287, 1038, 10884
